"","cow","cow_numerical","country","year","f41b","f41c","f41d","f41e","c14","a4aCIT","a4xCIT","a4aTCN","a4xTCN","f5a","f5b","b12_perm_1","b12_perm_1_name","b12_perm_2","b12_perm_2_name","b12_temp_1","b12_temp_1_name","b12_temp_2","b12_temp_2_name","b12_temp_3","b12_temp_3_name","b12_temp_4","b12_temp_4_name","b12_temp_5","b12_temp_5_name","b12_temp_6","b12_temp_6_name","b12_EUblue","b12_EUblue_name","f61b","f61c","f62b","f62c","a4a","a4x","b12mean","access","conseq","prevmeas","migsp_index"
"17","ARG",160,"Argentina",1996,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"18","ARG",160,"Argentina",1997,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"19","ARG",160,"Argentina",1998,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"20","ARG",160,"Argentina",1999,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"21","ARG",160,"Argentina",2000,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"22","ARG",160,"Argentina",2001,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"23","ARG",160,"Argentina",2002,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"24","ARG",160,"Argentina",2003,"1","0",".5","0","0",".5","1",".5","1","0","0",".m","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".m","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".5","1","0",".6111111",".25",".6666667",".53125"
"25","ARG",160,"Argentina",2004,"1","0","0","0","0",".d","1",".d","1","1","0",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".i","1",".25",".5555556",".5",".75",".5892857"
"26","ARG",160,"Argentina",2005,"1","0","0","0","0",".d","1",".d","1","1","0",".5","Mercosur Permanent Work Visa","0","Permanent Migrant From Non-Mercosur State",".5","Mercosur Temporary Work Visa","0","Temporary Migrant From Non-Mercosur State",".m","",".m","",".m","",".m","",".m","","1","1","1","1",".i","1",".25",".5555556",".5",".75",".5892857"
